,id,content,tag_en,tag_zhtw
0,32110,"台北馬偕醫院傳來訊息：

資深醫生（林清風）傳來：「請大家以後千萬不要再吃生魚片了！」
因為最近已經發現- 好多病人因為吃了生魚片，胃壁附著《海獸胃腺蟲》，大小隻不一定，有的病人甚至胃壁上滿滿都是無法夾出來，驅蟲藥也很難根治，罹患機率每個國家的人都一樣。
尤其；鮭魚的含蟲量最高、最可怕！
請傳給朋友，讓他們有所警惕!",Unreal,不實
1,31867,"轉載（緊急通知）
肉食者的後果。

台北馬偕醫院傳來訊息：

資深醫生（林清風）傳來：「請大家以後千萬不要再吃生魚片了！」
因為最近已經發現- 好多病人因為吃了生魚片，胃壁附著《海獸胃腺蟲》，大小隻不一定，有的病人甚至胃壁上滿滿都是無法夾出來，驅蟲藥也很難根治，罹患機率每個國家的人都一樣。
尤其；鮭魚的含蟲量最高、最可怕！
請傳給朋友，讓他們有所警惕!",Unreal,不實
2,32607,"台北馬偕醫院傳來訊息：

資深醫生（林清風）傳來：「請大家以後千萬不要再吃生魚片了！」
因為最近已經發現- 好多病人因為吃了生魚片，胃壁附著《海獸胃腺蟲》，大小隻不一定，有的病人甚至胃壁上滿滿都是無法夾出來，驅蟲藥也很難根治，罹患機率每個國家的人都一樣。
尤其；鮭魚的含蟲量最高、最可怕！
請傳給朋友，讓他們有所警惕!",Unreal,不實
3,32610,"資深醫生（林清風）傳來：「請大家以後千萬不要再吃生魚片了！」
因為最近已經發現- 好多病人因為吃了生魚片，胃壁附著《海獸胃腺蟲》，大小隻不一定，有的病人甚至胃壁上滿滿都是無法夾出來，驅蟲藥也很難根治，罹患機率每個國家的人都一樣。
尤其；鮭魚的含蟲量最高、最可怕！
請傳給朋友，讓他們有所警惕!",Unreal,不實
4,32997,請告知週邊人員，現在是柿子上市的季節，，吃完柿子千萬别喝優酪乳，也不能吃香蕉，會中毒，已經上新聞了，有個孩子還没等到醫院就往生了，誰的群組多，相互轉發一下，别差那三五秒，多做好事會功德無量的！,Unreal,不實
5,33537,"趕快！趕快！用力傳
嚴重反對！反對！反對！
否則來及了！

代價新台幣500億元😱 
台幣改版需花費500億元，由全民買單。
針對新台幣是否改版？中央銀行總裁楊金龍在立法院財委會表示，既然促進轉型正義條例已通過，新台幣圖案若涉及威權象徵，只要做出新台幣改版決定，「那我們就依法行政」。
前總裁彭淮南表示改版要花新台幣500億元。
📣如果你不想支付這筆費用，請用力分享出去。
團結，力量就是大。💪💪💪
爛政府全部在做沒意義的事！為何不把資源放在教育、培育未來的下一代？
不懂現在的政府在做什麼事？這就是改革嗎？
到底有沒深入人民的生活，有多少人找不到工作，已經快民不聊生了~
500億如果可以給小朋友，供應免費營養午餐，或小學，學費全免費，這樣可以幫助多少家庭？
拜託！大家用力傳~
           傳給親朋好友！
要快呀！",Unreal,不實
6,24816, 明天早上3點至晚上7點，中國網絡開始清理整頓LINE，所有族群都不要發圖片和鏈接，一但群被清理，群裡所有手機號都將被控，很麻煩，望相互轉告。早安圖片明天休息一天,Unreal,不實
7,31043,有大量千元 伍百元假鈔流入市面且做工精良難以辨識！但有一明顯破綻請大家注意辨認. 央行證實，當初印製真鈔時是先印上光影變化膜之後才印上國字，因此如果有出現國字被擋住的情形確實是假鈔唷！請大家千萬小心注意.如圖五百圓紙鈔的“圓”字被擋住了，即為假鈔！,Real,真實
8,15486,告訴家人，親人，朋友…美國醫生協會已經找到白血病和癌病起因的答案： 1. 長期喝飲料代替水。2.用塑料杯盛熱飲﹔ 3.用塑料袋盛裝熱的食物 4.用塑料器皿在微波爐中加熱食物。 切記： 當塑料接觸熱力會產生導致52種癌病的化學物質。 因此，這段訊息 比100段其他訊息更為有用。 通知到你身邊的至親好友，讓他們免受其害。,Unreal,不實
9,28997,"🛑很重要！拜託要快傳 🛑 

快轉告你家中的人 
 請注意~ 
最新犯罪手法… 
一位年輕駕駛，大白天在中油加油，這時有一個陌生男子走近，遞給他一張廣告名片，他不想要但不好意思拒絕，就接了過來握在手裡，立即回到車裡開車離開中油加油站。 
 他從後視鏡看到那個遞名片的男人，進入一輛等在一旁的車輛，並立刻尾隨在他車後面跟著，在這同時他覺得頭暈目眩且呼不過氣來，開大冷氣又搖下車窗也無濟於事，就在他要昏迷前他意識到這事情很怪異，有事情要發生,他立即果斷地將車子右轉駛進了一戶人家的車道後猛按喇叭，而跟蹤他的那輛車立刻加速逃逸。 
 當警察來到時他早已不醒人事，經過化驗那陌生男人遞給的小卡片上含有濃烈成份的葯劑BURUNDANGA ，它是一種無色無味可經由呼吸可使人昏迷的禁藥，它比俗稱 ""約會強暴丸"" 的效果更強4倍，在此呼籲大家 

只要是你獨自一人時，不論在任何地方，任何時間，陌生人要遞給你任何東西，或者要求你幫忙替他拿一下任何東西(包括遞相機給妳幫他們照相)，你都不能因為不好意思拒絕而接過來。 

假若碰到這樣的男人，這後果不堪設想，請將此迅息轉貼或傳遞給你所有認識的友人們。 

警政署165關心您！",Unreal,不實
10,29006,"🛑很重要！拜託要快傳 🛑 

快轉告你家中的人 
 請注意~ 
最新犯罪手法… 
一位年輕駕駛，大白天在中油加油，這時有一個陌生男子走近，遞給他一張廣告名片，他不想要但不好意思拒絕，就接了過來握在手裡，立即回到車裡開車離開中油加油站。 
 他從後視鏡看到那個遞名片的男人，進入一輛等在一旁的車輛，並立刻尾隨在他車後面跟著，在這同時他覺得頭暈目眩且呼不過氣來，開大冷氣又搖下車窗也無濟於事，就在他要昏迷前他意識到這事情很怪異，有事情要發生,他立即果斷地將車子右轉駛進了一戶人家的車道後猛按喇叭，而跟蹤他的那輛車立刻加速逃逸。 
 當警察來到時他早已不醒人事，經過化驗那陌生男人遞給的小卡片上含有濃烈成份的葯劑BURUNDANGA ，它是一種無色無味可經由呼吸可使人昏迷的禁藥，它比俗稱 ""約會強暴丸"" 的效果更強4倍，在此呼籲大家 

只要是你獨自一人時，不論在任何地方，任何時間，陌生人要遞給你任何東西，或者要求你幫忙替他拿一下任何東西(包括遞相機給妳幫他們照相)，你都不能因為不好意思拒絕而接過來。 

假若碰到這樣的男人，這後果不堪設想，請將此迅息轉貼或傳遞給你所有認識的友人們。 

警政署165關心您！",Unreal,不實
11,29016,"🛑很重要！拜託要快傳 🛑 

快轉告你家中的人 
 請注意~ 
最新犯罪手法… 
一位年輕駕駛，大白天在中油加油，這時有一個陌生男子走近，遞給他一張廣告名片，他不想要但不好意思拒絕，就接了過來握在手裡，立即回到車裡開車離開中油加油站。 
 他從後視鏡看到那個遞名片的男人，進入一輛等在一旁的車輛，並立刻尾隨在他車後面跟著，在這同時他覺得頭暈目眩且呼不過氣來，開大冷氣又搖下車窗也無濟於事，就在他要昏迷前他意識到這事情很怪異，有事情要發生,他立即果斷地將車子右轉駛進了一戶人家的車道後猛按喇叭，而跟蹤他的那輛車立刻加速逃逸。 
 當警察來到時他早已不醒人事，經過化驗那陌生男人遞給的小卡片上含有濃烈成份的葯劑BURUNDANGA ，它是一種無色無味可經由呼吸可使人昏迷的禁藥，它比俗稱 ""約會強暴丸"" 的效果更強4倍，在此呼籲大家 

只要是你獨自一人時，不論在任何地方，任何時間，陌生人要遞給你任何東西，或者要求你幫忙替他拿一下任何東西(包括遞相機給妳幫他們照相)，你都不能因為不好意思拒絕而接過來。 

假若碰到這樣的男人，這後果不堪設想，請將此迅息轉貼或傳遞給你所有認識的友人們。 

警政署165關心您！",Unreal,不實
12,29423,"🛑很重要！拜託要快傳 🛑 

快轉告你家中的人 
 請注意~ 
最新犯罪手法… 
一位年輕駕駛，大白天在中油加油，這時有一個陌生男子走近，遞給他一張廣告名片，他不想要但不好意思拒絕，就接了過來握在手裡，立即回到車裡開車離開中油加油站。 
 他從後視鏡看到那個遞名片的男人，進入一輛等在一旁的車輛，並立刻尾隨在他車後面跟著，在這同時他覺得頭暈目眩且呼不過氣來，開大冷氣又搖下車窗也無濟於事，就在他要昏迷前他意識到這事情很怪異，有事情要發生,他立即果斷地將車子右轉駛進了一戶人家的車道後猛按喇叭，而跟蹤他的那輛車立刻加速逃逸。 
 當警察來到時他早已不醒人事，經過化驗那陌生男人遞給的小卡片上含有濃烈成份的葯劑BURUNDANGA ，它是一種無色無味可經由呼吸可使人昏迷的禁藥，它比俗稱 ""約會強暴丸"" 的效果更強4倍，在此呼籲大家 

只要是你獨自一人時，不論在任何地方，任何時間，陌生人要遞給你任何東西，或者要求你幫忙替他拿一下任何東西(包括遞相機給妳幫他們照相)，你都不能因為不好意思拒絕而接過來。 

假若碰到這樣的男人，這後果不堪設想，請將此迅息轉貼或傳遞給你所有認識的友人們。 

警政署165關心您！",Unreal,不實
13,28907,"🛑很重要！拜託要快傳 🛑 

快轉告你家中的人 
 請注意~ 
最新犯罪手法… 
一位年輕駕駛，大白天在中油加油，這時有一個陌生男子走近，遞給他一張廣告名片，他不想要但不好意思拒絕，就接了過來握在手裡，立即回到車裡開車離開中油加油站。 
 他從後視鏡看到那個遞名片的男人，進入一輛等在一旁的車輛，並立刻尾隨在他車後面跟著，在這同時他覺得頭暈目眩且呼不過氣來，開大冷氣又搖下車窗也無濟於事，就在他要昏迷前他意識到這事情很怪異，有事情要發生,他立即果斷地將車子右轉駛進了一戶人家的車道後猛按喇叭，而跟蹤他的那輛車立刻加速逃逸。 
 當警察來到時他早已不醒人事，經過化驗那陌生男人遞給的小卡片上含有濃烈成份的葯劑BURUNDANGA ，它是一種無色無味可經由呼吸可使人昏迷的禁藥，它比俗稱 ""約會強暴丸"" 的效果更強4倍，在此呼籲大家 

只要是你獨自一人時，不論在任何地方，任何時間，陌生人要遞給你任何東西，或者要求你幫忙替他拿一下任何東西(包括遞相機給妳幫他們照相)，你都不能因為不好意思拒絕而接過來。 

假若碰到這樣的男人，這後果不堪設想，請將此迅息轉貼或傳遞給你所有認識的友人們。 

警政署165關心您！",Unreal,不實
14,29408,"🛑很重要！拜託要快傳 🛑 

快轉告你家中的人 
 請注意~ 
最新犯罪手法… 
一位年輕駕駛，大白天在中油加油，這時有一個陌生男子走近，遞給他一張廣告名片，他不想要但不好意思拒絕，就接了過來握在手裡，立即回到車裡開車離開中油加油站。 
 他從後視鏡看到那個遞名片的男人，進入一輛等在一旁的車輛，並立刻尾隨在他車後面跟著，在這同時他覺得頭暈目眩且呼不過氣來，開大冷氣又搖下車窗也無濟於事，就在他要昏迷前他意識到這事情很怪異，有事情要發生,他立即果斷地將車子右轉駛進了一戶人家的車道後猛按喇叭，而跟蹤他的那輛車立刻加速逃逸。 
 當警察來到時他早已不醒人事，經過化驗那陌生男人遞給的小卡片上含有濃烈成份的葯劑BURUNDANGA ，它是一種無色無味可經由呼吸可使人昏迷的禁藥，它比俗稱 ""約會強暴丸"" 的效果更強4倍，在此呼籲大家 

只要是你獨自一人時，不論在任何地方，任何時間，陌生人要遞給你任何東西，或者要求你幫忙替他拿一下任何東西(包括遞相機給妳幫他們照相)，你都不能因為不好意思拒絕而接過來。 

假若碰到這樣的男人，這後果不堪設想，請將此迅息轉貼或傳遞給你所有認識的友人們。 

警政署165關心您！",Unreal,不實
